id,title,author,release_date
24663,The Rich Little Poor Boy,Eleanor Gates,2008
33990,The Red Cross Girls with Pershing to Victory,Margaret Vandercook,2010
39643,The Bungalow Boys Along the Yukon,Dexter J. Forrester,2012
49928,Der kleine Ritter,Henryk Sienkiewicz,2015
40872,The History of The Hen Fever,George P. Burnham,2012
27093,The Boy Ranchers,Willard F. Baker,2008
31975,What Rough Beast?,Jefferson Highe,2010
32710,Doom of the House of Duryea,Earl Peirce,2010
31692,Homo Inferior,Mari Wolf,2010
51967,"The Life and Adventures of Peter Wilkins, Complete",Robert Paltock,2016
46735,Victor Victorious,Cecil Starr Johns,2014
52143,Fairview Boys at Lighthouse Cove,Frederick Gordon,2016
43975,The Lost Cabin Mine,Frederick Niven,2013
11187,Four Pigeons,W.W. Jacobs,2004
53686,Melmoth the Wanderer Vol 2 (of 4),Charles Robert Maturin,2016
14049,The Pointing Man,Marjorie Douie,2004
9871,The Avenger,E. Phillips Oppenheim,2006
55327,Over The Border,Robert Barr,2017
108,The Return of Sherlock Holmes,Arthur Conan Doyle,2007
47203,Kuninkaan mies,Walter Scott,2014
1239,The Spirit of the Border,Zane Grey,2004
10888,"Arthur Hamilton, and His Dog",Anonymous,2004
1880,The Pathfinder,James Fenimore Cooper,1999
2072,Michael,E. F. Benson,2006
53726,CÃ¦dwalla,Frank Cowper,2016
21432,Aunt Judith,Grace Beaumont,2007
27521,The Watchers of the Plains,Ridgewell Cullum,2008
33523,Little Frankie at School,Madeline Leslie,2010
45150,Dictionnaire Ã©rotique moderne,Alfred Delvau,2014
39923,The Lucky Seventh,Ralph Henry Barbour,2012
20714,Other Main-Travelled Roads,Hamlin Garland,2007
24085,Earl Hubert's Daughter,Emily Sarah Holt,2007
59018,Points of View,Agnes Repplier,2019
53926,Jacob Martens,G. C. Hoogewerff,2017
40557,Kvinnlighet och erotik I,Anne Charlotte Leffler,2012
36816,King Matthias and the Beggar Boy,Nicholas Jósika,2011
21097,Tom Finch's Monkey,John C. Hutcheson,2007
38577,The Blue Lights,Arnold Fredericks,2012
41249,"Among the Humorists and After Dinner Speakers, Vol. I",Various,2012
36358,Kasei no kioku,Raymond Jones,2011
10793,Sailor's Knots (Entire Collection),W.W. Jacobs,2006
31138,The So-called Human Race,Bert Leston Taylor,2010
45836,"La araña negra, t. 8/9",Vicente Blasco Ibáñez,2014
29119,They of the High Trails,Hamlin Garland,2009
44059,The Secret of Casa Grande,Helen Randolph,2013
50705,The de Bercy Affair,Gordon Holmes,2015
43890,Erämaan nuijamiehet,Santeri Ivalo,2013
47176,Drawn at a Venture,Fougasse,2014
60233,The Gray Shadow,Roy J. Snell,2019
11041,The Half-Back,Ralph Henry Barbour,2004
40134,A Moral Alphabet,Hilaire Belloc,2012
55106,Don Qvixote of the Mancha,Judge Parry,2017
12277,The Delectable Duchy,Arthur Thomas Quiller-Couch,2004
11930,More Fables,George Ade,2004
2668,The Life and Adventures of Baron Trenck,Baron Trenck,2007
57690,The Luck of the Vails,E. F. Benson,2018
13356,The Captain's Toll-Gate,Frank R. Stockton,2004
7463,Darkness and Dawn,George Allan England,2005
7326,The Yeoman Adventurer,George W. Gough,2005
47393,Ben-Hur,Lewis Wallace,2014
1622,The Law and the Lady,Wilkie Collins,1999
37081,In Strange Company,Guy Boothby,2011
21513,"Life And Adventures Of Peter Wilkins, Vol. I. (of II.)",Robert Paltock,2007
25743,Fearful Symmetry,Ann Wilson,2008
5324,Unknown,Unknown,0
12207,Establishing Relations,W.W. Jacobs,2004
20611,Mr. Grex of Monte Carlo,E. Phillips Oppenheim,2007
20566,"Rogers-isms, the Cowboy Philosopher on the Peace Conference",Will Rogers,2007
38902,Buzz a Buzz,Wilhelm Busch,2012
32730,The Heart of a Woman,"Emmuska Orczy, Baroness Orczy",2010
14098,Hieroglyphic Tales,Horace Walpole,2004
44984,The Mystery Girl,Carolyn Wells,2014
44146,That Pup,Ellis Parker Butler,2013
4994,Five Thousand Miles Underground,Roy Rockwood,2014
20790,Nouvelles histoires extraordinaires,Edgar Allan Poe,2007
427,The Great War Syndicate,Frank Stockton,2008
